Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,4.429999828338623,4.449999809265137,4.429999828338623,4.440000057220459,4.440000057220459,1222700
2021-11-02,4.409999847412109,4.409999847412109,4.349999904632568,4.349999904632568,4.349999904632568,1367400
2021-11-03,4.320000171661377,4.400000095367432,4.320000171661377,4.400000095367432,4.400000095367432,1506900
2021-11-04,4.25,4.260000228881836,4.199999809265137,4.230000019073486,4.230000019073486,2584000
2021-11-05,4.320000171661377,4.389999866485596,4.320000171661377,4.360000133514404,4.360000133514404,1666700
2021-11-08,4.380000114440918,4.380000114440918,4.340000152587891,4.360000133514404,4.360000133514404,1988800
2021-11-09,4.429999828338623,4.449999809265137,4.409999847412109,4.429999828338623,4.429999828338623,1869600
2021-11-10,4.5,4.550000190734863,4.5,4.5,4.5,2348000
2021-11-11,4.510000228881836,4.559999942779541,4.5,4.550000190734863,4.550000190734863,1675300
2021-11-12,4.510000228881836,4.559999942779541,4.510000228881836,4.539999961853027,4.539999961853027,1466600
2021-11-15,4.5,4.519999980926514,4.449999809265137,4.46999979019165,4.46999979019165,8789700
2021-11-16,4.53000020980835,4.539999961853027,4.420000076293945,4.440000057220459,4.440000057220459,1114800
2021-11-17,4.400000095367432,4.449999809265137,4.400000095367432,4.449999809265137,4.449999809265137,1401900
2021-11-18,4.5,4.510000228881836,4.460000038146973,4.480000019073486,4.480000019073486,2106200
2021-11-19,4.489999771118164,4.510000228881836,4.420000076293945,4.449999809265137,4.449999809265137,1783500
2021-11-22,4.639999866485596,4.71999979019165,4.630000114440918,4.690000057220459,4.690000057220459,2725300
2021-11-23,4.489999771118164,4.559999942779541,4.480000019073486,4.559999942779541,4.559999942779541,4061000
2021-11-24,4.489999771118164,4.510000228881836,4.46999979019165,4.5,4.5,4494900
2021-11-26,4.380000114440918,4.409999847412109,4.340000152587891,4.400000095367432,4.400000095367432,1806700
